Wall time,Step,Value
1590138127.8267725,0,22.88888931274414
1590138137.5470684,10,63.28571319580078
1590138147.540993,20,109.75
1590138157.8087223,30,137.0
1590138167.9947205,40,174.3333282470703
1590138178.4915493,50,178.3333282470703
1590138188.4392471,60,167.0
1590138197.828851,70,200.0
1590138206.346233,80,200.0
1590138215.3273356,90,200.0
