Wall time,Step,Value
1590274043.20521,10001,-282.9872131347656
1590274083.9687934,20001,-258.57098388671875
1590274136.193324,30001,-211.34295654296875
1590274202.170856,40001,-194.87940979003906
1590274253.7130387,50001,-182.3428955078125
1590274303.8216906,60001,-166.09901428222656
1590274356.3352401,70001,-150.97042846679688
1590274409.4913025,80001,-131.75054931640625
1590274460.7799995,90001,-128.10867309570312
1590274512.0845916,100001,-116.92668914794922
1590274577.9614885,110001,-108.4084701538086
1590274631.6819482,120001,-99.04194641113281
1590274681.9576058,130001,-53.49341583251953
1590274731.653872,140001,-19.36049461364746
1590274785.508503,150001,-4.466230869293213
1590274837.177241,160001,23.361021041870117
1590274887.95036,170001,35.193641662597656
1590274940.2904444,180001,52.58422088623047
1590275006.5832634,190001,44.7460823059082
1590275057.8868282,200001,46.49427032470703
1590275107.7003791,210001,47.303070068359375
1590275161.8453274,220001,39.51900863647461
1590275208.5223312,230001,64.75875091552734
1590275254.1181304,240001,91.18284606933594
1590275302.8539157,250001,109.25114440917969
1590275346.9323988,260001,117.55007934570312
1590275388.5399218,270001,127.33269500732422
1590275425.5183318,280001,129.54437255859375
1590275462.7409298,290001,107.78961944580078
1590275499.2099175,300001,127.61555480957031
1590275536.5237517,310001,132.4355010986328
1590275572.0785775,320001,125.71049499511719
1590275606.0191185,330001,127.55014038085938
1590275641.7956107,340001,126.38671112060547
1590275675.5841396,350001,113.72008514404297
1590275709.4357615,360001,114.76691436767578
1590275743.0063019,370001,125.35796356201172
1590275777.076093,380001,116.36732482910156
1590275811.3560262,390001,114.8318099975586
1590275845.0938141,400001,110.59333038330078
1590275878.9877753,410001,123.0249252319336
1590275913.3534868,420001,112.70331573486328
1590275946.989706,430001,111.11802673339844
1590275980.5144277,440001,115.21807861328125
1590276014.2397592,450001,95.21649932861328
1590276047.675572,460001,127.53668975830078
1590276083.004094,470001,110.4505844116211
1590276116.430748,480001,95.79530334472656
1590276150.113678,490001,95.44203186035156
