Wall time,Step,Value
1590314499.9962997,10001,-240.7930908203125
1590314537.534502,20001,-208.19923400878906
1590314606.5622647,30001,-187.0343475341797
1590314669.9856982,40001,-168.6094512939453
1590314736.0117004,50001,-164.51441955566406
1590314794.4726074,60001,-164.2136688232422
1590314854.2548337,70001,-153.0148468017578
1590314913.9026995,80001,-146.73521423339844
1590314974.004565,90001,-136.566162109375
1590315034.3588746,100001,-128.13282775878906
1590315090.4829032,110001,-123.39746856689453
1590315150.1036766,120001,-131.6806640625
1590315209.189461,130001,-119.17704772949219
1590315270.4733825,140001,-120.46233367919922
1590315324.7347174,150001,-121.05009460449219
1590315379.194421,160001,-121.20974731445312
1590315435.5546892,170001,-118.91651916503906
1590315490.4464583,180001,-123.8476333618164
1590315546.4806464,190001,-129.0880126953125
1590315602.3261847,200001,-120.9627456665039
1590315658.98348,210001,-122.02779388427734
1590315719.951982,220001,-118.0318374633789
1590315787.8884277,230001,-108.27376556396484
1590315841.77702,240001,-97.19316101074219
1590315896.042574,250001,-81.63835906982422
1590315950.241219,260001,-74.60169982910156
1590315998.5797422,270001,-82.70272064208984
1590316048.6935496,280001,-86.83143615722656
1590316102.3817594,290001,-102.39817810058594
1590316157.256443,300001,-114.2710189819336
1590316218.8043137,310001,-125.54092407226562
1590316277.094601,320001,-116.40740203857422
1590316332.787293,330001,-102.47454833984375
1590316399.6922853,340001,-91.21788787841797
1590316458.831463,350001,-91.37278747558594
1590316515.6441338,360001,-85.02718353271484
1590316573.8447309,370001,-66.94824981689453
1590316632.709266,380001,-54.743919372558594
1590316687.0864155,390001,-24.68105125427246
1590316741.5539453,400001,-22.498184204101562
1590316796.40793,410001,-18.16240119934082
1590316855.8910723,420001,-6.25786828994751
1590316911.647978,430001,0.8802134990692139
1590316965.6715639,440001,-0.9230949878692627
1590317019.324497,450001,3.5615923404693604
1590317074.7868211,460001,4.936247825622559
1590317126.0662563,470001,13.327016830444336
1590317178.9075758,480001,23.770000457763672
1590317241.5875225,490001,32.27531433105469
