Wall time,Step,Value
1590264972.0187452,10001,-268.67962646484375
1590265009.7424746,20001,-217.1355438232422
1590265064.0251613,30001,-198.20724487304688
1590265128.5879948,40001,-174.3465576171875
1590265179.484122,50001,-153.30978393554688
1590265233.274365,60001,-129.8633575439453
1590265284.5875442,70001,-101.78559875488281
1590265334.3128593,80001,-63.97418975830078
1590265386.5234153,90001,-58.616737365722656
1590265445.4846523,100001,-53.86872482299805
1590265493.6461024,110001,-31.04177474975586
1590265539.7737172,120001,-25.27193260192871
1590265589.0614712,130001,-17.98990821838379
1590265638.5810485,140001,-17.626150131225586
1590265686.9933584,150001,1.9111757278442383
1590265733.6239378,160001,6.620815277099609
1590265782.465368,170001,27.77149200439453
1590265827.8522995,180001,43.55421447753906
1590265872.6443484,190001,40.11821365356445
1590265918.8600338,200001,47.50498580932617
1590265964.5088997,210001,45.838748931884766
1590266010.6271887,220001,48.08633804321289
1590266054.1979632,230001,50.16682815551758
1590266100.8607657,240001,56.17463302612305
1590266143.4850574,250001,71.3653335571289
1590266185.9168465,260001,66.35114288330078
1590266226.8530617,270001,73.216796875
1590266273.6265974,280001,84.71125030517578
1590266314.6287668,290001,111.08536529541016
1590266359.4155893,300001,105.65740966796875
1590266404.6305778,310001,105.3572769165039
1590266452.5674217,320001,106.60923767089844
1590266506.2463572,330001,98.58351135253906
1590266556.774216,340001,94.93193817138672
1590266613.2213001,350001,76.05030059814453
1590266671.762351,360001,63.28877258300781
1590266731.5133157,370001,63.8963623046875
1590266792.5948365,380001,53.88941192626953
1590266845.6014102,390001,36.700103759765625
1590266896.6808734,400001,60.04365158081055
1590266947.047268,410001,55.30746078491211
1590266986.1209853,420001,66.44478607177734
1590267021.0417187,430001,83.97639465332031
1590267056.4502153,440001,84.39583587646484
1590267092.3260632,450001,116.91863250732422
1590267127.6269102,460001,141.08924865722656
1590267163.5151322,470001,152.2186279296875
1590267197.887321,480001,169.2637939453125
1590267232.316527,490001,147.46507263183594
