Wall time,Step,Value
1590089502.3096328,100001,-20.280000686645508
1590089929.3655293,110001,-20.239999771118164
1590090366.031733,120001,-20.239999771118164
1590090798.660829,130001,-20.239999771118164
1590091231.681201,140001,-20.239999771118164
1590091664.713542,150001,-20.239999771118164
1590092099.1963456,160001,-20.239999771118164
1590092533.398844,170001,-20.239999771118164
1590092968.571732,180001,-20.239999771118164
1590093403.297261,190001,-20.239999771118164
1590093839.7865226,200001,-20.239999771118164
1590094285.4750378,210001,-20.239999771118164
1590094721.2848213,220001,-20.239999771118164
1590095158.024135,230001,-20.239999771118164
1590095596.5175605,240001,-20.209999084472656
1590096033.332619,250001,-20.209999084472656
1590096468.1375866,260001,-20.190000534057617
1590096905.906697,270001,-20.190000534057617
1590097342.9936278,280001,-20.170000076293945
1590097780.8048816,290001,-20.149999618530273
1590098219.283364,300001,-20.149999618530273
1590098657.6442428,310001,-20.149999618530273
1590099107.2932155,320001,-20.049999237060547
1590099548.6441035,330001,-20.049999237060547
1590099989.805596,340001,-20.049999237060547
1590100432.3008344,350001,-20.049999237060547
1590100875.8758438,360001,-20.049999237060547
1590101317.5818465,370001,-20.030000686645508
1590101759.9751792,380001,-19.979999542236328
1590102202.9161148,390001,-19.979999542236328
1590102646.564101,400001,-19.979999542236328
1590103092.0639622,410001,-19.979999542236328
1590103536.5229108,420001,-19.979999542236328
1590103986.6283026,430001,-19.979999542236328
1590104436.03579,440001,-19.979999542236328
1590104982.2611585,450001,-19.979999542236328
1590105755.571845,460001,-19.979999542236328
1590106662.44235,470001,-19.979999542236328
1590107813.4617386,480001,-19.979999542236328
1590109836.3194258,490001,-19.90999984741211
1590113421.7930706,500001,-19.829999923706055
1590119450.0458858,510001,-19.709999084472656
1590126630.257166,520001,-19.649999618530273
