Wall time,Step,Value
1590269561.1361868,10001,-229.83587646484375
1590269602.0498347,20001,-200.57821655273438
1590269659.9547172,30001,-177.70126342773438
1590269728.0991414,40001,-159.64747619628906
1590269783.5376346,50001,-148.46939086914062
1590269840.2636924,60001,-136.70285034179688
1590269890.8934977,70001,-120.17886352539062
1590269939.494691,80001,-79.37512969970703
1590269991.235208,90001,-57.48014831542969
1590270042.2125566,100001,-43.363948822021484
1590270093.0218472,110001,-7.358224391937256
1590270145.5909069,120001,16.058414459228516
1590270195.2859406,130001,32.65388870239258
1590270244.9193735,140001,22.157983779907227
1590270297.6911778,150001,20.887866973876953
1590270350.0959306,160001,23.3039608001709
1590270399.5417423,170001,32.040771484375
1590270451.3933995,180001,43.3471794128418
1590270497.3427374,190001,57.49908447265625
1590270546.0288103,200001,71.4808349609375
1590270595.2520232,210001,78.3507080078125
1590270638.6975894,220001,75.3868637084961
1590270681.8371985,230001,82.77912902832031
1590270727.780605,240001,97.30387115478516
1590270774.04168,250001,110.54108428955078
1590270818.812741,260001,120.68588256835938
1590270858.5333433,270001,121.38470458984375
1590270897.6386874,280001,127.03675842285156
1590270939.837341,290001,133.88038635253906
1590270981.661979,300001,146.1310272216797
1590271016.9134376,310001,155.2561798095703
1590271056.3136897,320001,159.44113159179688
1590271094.1382453,330001,153.9237060546875
1590271134.260836,340001,144.0200958251953
1590271172.8276186,350001,137.289794921875
1590271208.702177,360001,115.70946502685547
1590271244.1125488,370001,119.7998046875
1590271280.4709535,380001,125.41873168945312
1590271315.707254,390001,137.6939697265625
1590271350.280028,400001,118.70629119873047
1590271385.3692148,410001,113.34595489501953
1590271419.793786,420001,127.77790832519531
1590271454.694485,430001,105.59676361083984
1590271491.770753,440001,93.79780578613281
1590271526.9549642,450001,67.38821411132812
1590271561.7462828,460001,37.90520477294922
1590271596.2221282,470001,32.49577713012695
1590271629.9906013,480001,56.786964416503906
1590271666.8185682,490001,61.505558013916016
