Wall time,Step,Value
1592639953.9994037,0,-1828.28662109375
1592640184.4186597,1,-823.4365234375
1592640414.8284755,2,-389.6952209472656
1592640647.0488183,3,-288.09649658203125
1592640876.9756374,4,-269.0797119140625
1592641121.9503071,5,-281.26910400390625
1592641363.639353,6,-285.359619140625
1592641600.6074455,7,-269.7481689453125
1592641833.338263,8,-265.2334899902344
1592642065.8214374,9,-269.90826416015625
1592642300.4484763,10,-258.38092041015625
1592642541.4746213,11,-261.1667175292969
1592642780.083449,12,-266.3570861816406
1592643019.5592244,13,-269.0982360839844
1592643250.0551462,14,-260.5597229003906
