Wall time,Step,Value
1592636884.1185033,0,-1828.28662109375
1592637044.4104078,1,-949.3507080078125
1592637191.9387157,2,-395.56036376953125
1592637242.5108256,3,-321.2459716796875
1592637292.618619,4,-321.4915771484375
1592637343.0570045,5,-293.7083740234375
1592637394.3031836,6,-321.7409362792969
1592637445.596925,7,-261.1317138671875
1592637496.505354,8,-270.91168212890625
1592637547.051962,9,-268.1009826660156
1592637597.3095264,10,-278.113525390625
1592637647.736309,11,-277.5804748535156
1592637698.1485205,12,-263.89324951171875
1592637748.4644594,13,-283.138671875
1592637799.0778513,14,-279.7906799316406
